operation,timestamp,datetime,cpu_percent,memory_mb,execution_time_ms
status_verification,1749701779.914412,2025-06-12 13:16:19.914,3.42,1.4,0.01558000803925097
status_verification,1749701779.9145947,2025-06-12 13:16:19.914,2.64,0.89,0.01505599357187748
prepare_profile,1749701780.2392793,2025-06-12 13:16:20.239,12.23,7.32,0.2818899811245501
key_establishment,1749701780.2416134,2025-06-12 13:16:20.241,19.84,4.54,0.3601500065997243
key_establishment,1749701780.2434275,2025-06-12 13:16:20.243,21.26,6.74,0.22779000573791564
register_euicc,1749701780.2450583,2025-06-12 13:16:20.245,15.8,2.6,0.16898399917408824
create_isdp,1749701780.2465167,2025-06-12 13:16:20.246,6.42,4.19,0.1317569985985756
install_profile,1749701780.2480505,2025-06-12 13:16:20.248,21.46,11.21,0.30090799555182457
enable_profile,1749701780.2495327,2025-06-12 13:16:20.249,9.96,3.46,0.10790000669658184
install_profile,1749701780.2509034,2025-06-12 13:16:20.250,25.61,7.04,0.14821399236097932
key_establishment,1749701780.2524462,2025-06-12 13:16:20.252,18.78,5.65,0.31609099823981524
status_verification,1749701780.2536426,2025-06-12 13:16:20.253,3.37,0.52,0.09224200039170682
status_verification,1749701780.2545855,2025-06-12 13:16:20.254,2.94,1.28,0.06829100311733782
status_verification,1749701780.255458,2025-06-12 13:16:20.255,2.95,0.55,0.06786599988117814
prepare_profile,1749701780.9178395,2025-06-12 13:16:20.917,16.95,7.01,0.2514729858376086
key_establishment,1749701780.9198155,2025-06-12 13:16:20.919,19.29,4.87,0.34136700560338795
key_establishment,1749701780.9215121,2025-06-12 13:16:20.921,20.38,6.63,0.19945198437198997
register_euicc,1749701780.9229047,2025-06-12 13:16:20.922,11.67,4.15,0.15839800471439958
create_isdp,1749701780.9249024,2025-06-12 13:16:20.924,9.42,3.74,0.19697999232448637
install_profile,1749701780.9269514,2025-06-12 13:16:20.926,28.23,7.38,0.365918007446453
enable_profile,1749701780.9287555,2025-06-12 13:16:20.928,8.45,1.72,0.17256700084544718
install_profile,1749701780.93072,2025-06-12 13:16:20.930,27.63,8.72,0.21919197752140462
key_establishment,1749701780.9327216,2025-06-12 13:16:20.932,16.84,3.37,0.37301500560715795
status_verification,1749701780.9341636,2025-06-12 13:16:20.934,3.66,0.57,0.18240700592286885
status_verification,1749701780.9355705,2025-06-12 13:16:20.935,3.13,1.3,0.13799400767311454
status_verification,1749701780.937236,2025-06-12 13:16:20.937,3.39,0.99,0.17008697614073753
prepare_profile,1749701781.2598515,2025-06-12 13:16:21.259,13.53,8.33,0.37887998041696846
key_establishment,1749701781.262888,2025-06-12 13:16:21.262,20.43,4.49,0.5284630169626325
key_establishment,1749701781.2654002,2025-06-12 13:16:21.265,22.28,4.55,0.2815200132317841
register_euicc,1749701781.2682588,2025-06-12 13:16:21.268,11.46,4.45,0.37055101711302996
create_isdp,1749701781.271027,2025-06-12 13:16:21.271,6.76,3.9,0.2677770098671317
install_profile,1749701781.2733335,2025-06-12 13:16:21.273,20.37,9.44,0.3419900021981448
enable_profile,1749701781.2748265,2025-06-12 13:16:21.274,8.66,1.77,0.12722000246867537
install_profile,1749701781.2783504,2025-06-12 13:16:21.278,27.27,8.03,0.39531601942144334
key_establishment,1749701781.280968,2025-06-12 13:16:21.280,19.02,7.1,0.3894960100296885
status_verification,1749701781.2829583,2025-06-12 13:16:21.282,3.26,1.4,0.2275629958603531
status_verification,1749701781.2847383,2025-06-12 13:16:21.284,2.93,1.25,0.11971499770879745
status_verification,1749701781.2863688,2025-06-12 13:16:21.286,2.99,0.83,0.13700700947083533
prepare_profile,1749701781.942,2025-06-12 13:16:21.942,16.05,8.48,0.23330599651671946
key_establishment,1749701781.9441855,2025-06-12 13:16:21.944,20.06,6.41,0.3361970011610538
key_establishment,1749701781.9467044,2025-06-12 13:16:21.946,20.3,3.94,0.2280549961142242
register_euicc,1749701781.9485233,2025-06-12 13:16:21.948,12.33,3.94,0.1777180004864931
create_isdp,1749701781.94996,2025-06-12 13:16:21.949,6.6,3.01,0.12178800534456968
install_profile,1749701781.9518082,2025-06-12 13:16:21.951,27.65,10.32,0.3047749924007803
enable_profile,1749701781.9531515,2025-06-12 13:16:21.953,8.63,2.08,0.12871899525634944
install_profile,1749701781.9547524,2025-06-12 13:16:21.954,23.17,7.85,0.16267300816252828
key_establishment,1749701781.956403,2025-06-12 13:16:21.956,16.46,4.91,0.31888100784271955
status_verification,1749701781.9575918,2025-06-12 13:16:21.957,3.42,1.5,0.09944898192770779
status_verification,1749701781.9586842,2025-06-12 13:16:21.958,3.59,0.79,0.06899298750795424
status_verification,1749701781.9599674,2025-06-12 13:16:21.959,3.44,1.08,0.0953909766394645
prepare_profile,1749701782.291106,2025-06-12 13:16:22.291,15.27,6.04,0.24513198877684772
key_establishment,1749701782.2930498,2025-06-12 13:16:22.293,23.44,4.16,0.3244949912186712
key_establishment,1749701782.294609,2025-06-12 13:16:22.294,23.3,5.87,0.20341400522738695
register_euicc,1749701782.2962375,2025-06-12 13:16:22.296,11.35,2.67,0.18378900131210685
create_isdp,1749701782.2976582,2025-06-12 13:16:22.297,7.06,2.17,0.1341469760518521
install_profile,1749701782.2992456,2025-06-12 13:16:22.299,28.56,9.32,0.3116939915344119
enable_profile,1749701782.3005793,2025-06-12 13:16:22.300,8.48,3.02,0.1038819900713861
install_profile,1749701782.301927,2025-06-12 13:16:22.301,21.49,7.32,0.1531550078652799
key_establishment,1749701782.3036244,2025-06-12 13:16:22.303,16.77,4.55,0.33265200909227133
status_verification,1749701782.304773,2025-06-12 13:16:22.304,3.64,1.08,0.09651001892052591
status_verification,1749701782.3057625,2025-06-12 13:16:22.305,3.73,1.27,0.06717399810440838
status_verification,1749701782.3066785,2025-06-12 13:16:22.306,3.61,1.03,0.06995198782533407
prepare_profile,1749701782.661717,2025-06-12 13:16:22.661,14.23,4.55,0.22288699983619153
key_establishment,1749701782.6636667,2025-06-12 13:16:22.663,16.23,6.71,0.310992996674031
key_establishment,1749701782.6656103,2025-06-12 13:16:22.665,19.65,6.59,0.21142099285498261
register_euicc,1749701782.6673083,2025-06-12 13:16:22.667,12.58,3.86,0.16333302482962608
create_isdp,1749701782.6686974,2025-06-12 13:16:22.668,8.76,1.96,0.11972399079240859
install_profile,1749701782.6703706,2025-06-12 13:16:22.670,23.88,8.42,0.34037401201203465
enable_profile,1749701782.6722908,2025-06-12 13:16:22.672,7.72,2.5,0.1808609813451767
install_profile,1749701782.6739073,2025-06-12 13:16:22.673,24.78,6.96,0.19180899835191667
key_establishment,1749701782.6757205,2025-06-12 13:16:22.675,23.07,7.04,0.33761499798856676
status_verification,1749701782.6768272,2025-06-12 13:16:22.676,3.41,0.88,0.1014860172290355
status_verification,1749701782.6778808,2025-06-12 13:16:22.677,3.19,1.46,0.07268501212820411
